"시도별(1)",2024,2024,2024,2024
"시도별(1)",금년,금년,10년 평균,10년 평균
"시도별(1)",건수 (건),면적 (ha),건수 (건),면적 (ha)
"계",279,131.94,546.0,4003.17
"서울특별시",2,0.29,9.5,1.73
"부산광역시",7,0.78,13.7,17.80
"대구광역시",9,20.50,10.6,16.64
"인천광역시",9,1.10,18.3,6.66
"광주광역시",2,4.91,3.1,1.13
"대전광역시",2,0.83,6.5,1.92
"울산광역시",3,2.43,11.9,58.61
"세종특별자치시",1,0.06,3.9,0.51
"경기도",86,31.68,129.9,52.49
"강원특별자치도",30,19.26,74.1,1101.28
"충청북도",14,2.80,24.9,33.54
"충청남도",36,7.34,39.6,283.11
"전북특별자치도",14,9.18,26.7,10.30
"전라남도",16,7.24,37.7,108.64
"경상북도",32,13.66,85.8,2107.07
"경상남도",16,9.88,49.0,201.53
"제주특별자치도",-,-,0.3,0.21
